Run,TotalUsers,TimeTaken(s),Throughput(TPS),AvgLatency(ms),AvgGasUsed
1,1,0.04,27.78,36.00,168696.00
2,2,0.05,43.48,38.00,151590.00
3,3,0.08,37.50,60.33,151596.00
4,4,0.12,34.78,80.75,151596.00
5,5,0.12,40.32,78.20,151596.00
6,6,0.23,26.67,117.33,151596.00
7,7,0.17,42.42,95.86,151594.29
8,8,0.19,42.33,110.88,151596.00
9,9,0.20,45.45,114.67,151594.67
10,10,0.33,30.21,156.00,151596.00
11,11,0.31,35.48,191.91,151596.00
12,12,0.28,42.55,153.33,151601.00
13,13,0.52,25.24,221.00,151603.38
14,14,0.72,19.39,427.07,151605.43
15,15,0.55,27.17,303.93,151607.20
16,16,0.98,16.29,439.88,151608.00
17,17,0.63,27.11,386.29,151609.41
18,18,0.53,33.96,277.94,151611.33
19,19,0.82,23.23,475.32,151611.79
20,20,0.75,26.77,424.60,151612.20
21,21,0.65,32.31,345.62,151613.71
22,22,1.22,18.02,666.59,151614.55
23,23,1.29,17.80,689.30,151614.78
24,24,1.31,18.31,772.67,151617.00
25,25,1.55,16.15,921.68,151616.64
26,26,1.60,16.20,813.85,151616.77
27,27,2.05,13.20,1066.59,151618.67
28,28,1.64,17.13,964.57,151617.86
29,29,2.24,12.93,1298.00,151618.76
30,30,7.13,4.21,2906.47,151619.20
31,31,13.54,2.29,12928.81,151620.39
32,32,1.44,22.22,1008.59,151620.00
33,33,1.24,26.53,605.39,151620.73
34,34,1.25,27.22,612.68,151621.06
35,35,1.46,24.05,928.40,151620.34
36,36,1.33,27.07,767.06,151621.67
37,37,0.96,38.42,555.16,151621.62
38,38,1.38,27.52,807.61,151621.89
39,39,1.38,28.28,683.18,151621.85
40,40,1.24,32.39,697.25,151622.10
41,41,1.52,26.94,885.41,151622.63
42,42,1.55,27.10,788.67,151622.00
43,43,1.67,25.76,826.05,151622.51
44,44,1.94,22.70,1104.32,151623.00
45,45,2.55,17.65,1476.31,151622.93
46,46,2.89,15.93,1734.20,151623.65
47,47,2.73,17.20,1522.55,151623.32
48,48,2.14,22.41,1039.90,151624.00
49,49,2.17,22.57,1235.06,151622.94
50,50,3.15,15.89,1799.08,151624.32
